"waze_alerts.starttime","waze_alerts.endtime","waze_alerts.city","waze_alerts.confidence","waze_alerts.country","waze_alerts.location_x","waze_alerts.location_y","waze_alerts.magvar","waze_alerts.pubmillis","waze_alerts.reliability","waze_alerts.reportrating","waze_alerts.roadtype","waze_alerts.street","waze_alerts.subtype","waze_alerts.type","waze_alerts.uuid","waze_alerts.date_id","waze_alerts.ppn_dttm","line_x","line_y","pubmillis","jarak","Waktu","weekday","hour","cluster"
"2017-10-01 06:41:00:000","2017-10-01 06:42:00:000","Jakarta Pusat","0","ID","106.815272","-6.189278","7","1506840234763","5","1","7","Underpass Tanah Abang","HAZARD_ON_ROAD_POT_HOLE","WEATHERHAZARD","338f959b-ac62-3c92-a11e-da98f0565e44","20171001","20171001",106.815272,-6.189278,1506840234763,201.588086152709,2017-10-01 13:43:54,"Sun",13,0
"2017-10-01 06:42:00:000","2017-10-01 06:43:00:000","Jakarta Pusat","0","ID","106.815272","-6.189278","7","1506840234763","5","1","7","Underpass Tanah Abang","HAZARD_ON_ROAD_POT_HOLE","WEATHERHAZARD","338f959b-ac62-3c92-a11e-da98f0565e44","20171001","20171001",106.815272,-6.189278,1506840234763,201.588086152709,2017-10-01 13:43:54,"Sun",13,0
"2017-10-01 06:47:00:000","2017-10-01 06:48:00:000","Jakarta Pusat","0","ID","106.815272","-6.189278","7","1506840234763","6","1","7","Underpass Tanah Abang","HAZARD_ON_ROAD_POT_HOLE","WEATHERHAZARD","338f959b-ac62-3c92-a11e-da98f0565e44","20171001","20171001",106.815272,-6.189278,1506840234763,201.588086152709,2017-10-01 13:43:54,"Sun",13,0
"2017-10-01 06:53:00:000","2017-10-01 06:54:00:000","Jakarta Pusat","1","ID","106.815272","-6.189278","7","1506840234763","7","1","7","Underpass Tanah Abang","HAZARD_ON_ROAD_POT_HOLE","WEATHERHAZARD","338f959b-ac62-3c92-a11e-da98f0565e44","20171001","20171001",106.815272,-6.189278,1506840234763,201.588086152709,2017-10-01 13:43:54,"Sun",13,0
"2017-10-01 06:43:00:000","2017-10-01 06:44:00:000","Jakarta Pusat","0","ID","106.815272","-6.189278","7","1506840234763","5","1","7","Underpass Tanah Abang","HAZARD_ON_ROAD_POT_HOLE","WEATHERHAZARD","338f959b-ac62-3c92-a11e-da98f0565e44","20171001","20171001",106.815272,-6.189278,1506840234763,201.588086152709,2017-10-01 13:43:54,"Sun",13,0
"2017-10-01 06:54:00:000","2017-10-01 06:55:00:000","Jakarta Pusat","1","ID","106.815272","-6.189278","7","1506840234763","7","1","7","Underpass Tanah Abang","HAZARD_ON_ROAD_POT_HOLE","WEATHERHAZARD","338f959b-ac62-3c92-a11e-da98f0565e44","20171001","20171001",106.815272,-6.189278,1506840234763,201.588086152709,2017-10-01 13:43:54,"Sun",13,0
"2017-10-01 06:48:00:000","2017-10-01 06:49:00:000","Jakarta Pusat","0","ID","106.815272","-6.189278","7","1506840234763","6","1","7","Underpass Tanah Abang","HAZARD_ON_ROAD_POT_HOLE","WEATHERHAZARD","338f959b-ac62-3c92-a11e-da98f0565e44","20171001","20171001",106.815272,-6.189278,1506840234763,201.588086152709,2017-10-01 13:43:54,"Sun",13,0
"2017-10-01 06:44:00:000","2017-10-01 06:45:00:000","Jakarta Pusat","0","ID","106.815272","-6.189278","7","1506840234763","6","1","7","Underpass Tanah Abang","HAZARD_ON_ROAD_POT_HOLE","WEATHERHAZARD","338f959b-ac62-3c92-a11e-da98f0565e44","20171001","20171001",106.815272,-6.189278,1506840234763,201.588086152709,2017-10-01 13:43:54,"Sun",13,0
"2017-10-01 06:59:00:000","2017-10-01 07:00:00:000","Jakarta Pusat","1","ID","106.815272","-6.189278","7","1506840234763","7","1","7","Underpass Tanah Abang","HAZARD_ON_ROAD_POT_HOLE","WEATHERHAZARD","338f959b-ac62-3c92-a11e-da98f0565e44","20171001","20171001",106.815272,-6.189278,1506840234763,201.588086152709,2017-10-01 13:43:54,"Sun",13,0
"2017-10-01 06:55:00:000","2017-10-01 06:56:00:000","Jakarta Pusat","1","ID","106.815272","-6.189278","7","1506840234763","7","1","7","Underpass Tanah Abang","HAZARD_ON_ROAD_POT_HOLE","WEATHERHAZARD","338f959b-ac62-3c92-a11e-da98f0565e44","20171001","20171001",106.815272,-6.189278,1506840234763,201.588086152709,2017-10-01 13:43:54,"Sun",13,0
